timestamp,epoch,train_loss,train_pair_acc,epoch_seconds,train_samples,val_mr,val_mrr,val_hits@1,val_hits@3,val_hits@10,val_n,cum_hours,samples_per_sec
2026-03-08 21:38:27.617863,1.0,0.8121719925129048,0.73896,13975.860005378723,50000.0,,,,,,,3.882183334827423,3.5775973700907917
2026-03-09 01:43:47.851694,2.0,0.6129762283360747,0.8784,14720.225925922394,50000.0,,,,,,,7.971134980916977,3.396686997306865
2026-03-09 03:34:16.312312,3.0,0.5241263697268449,0.92076,6628.453344583511,50000.0,,,,,,,9.812372021079064,7.543237826492037
2026-03-09 05:24:44.409692,4.0,0.4816751762019119,0.93478,6628.09737944603,50000.0,,,,,,,11.653510182036294,7.543642939684593
2026-03-09 10:33:50.092374,5.0,0.46184775993822214,0.93812,6637.95242357254,50000.0,293.4766666666667,0.19783782153280682,0.14166666666666666,0.21833333333333332,0.295,600.0,13.497385855250888,7.532443261033505
2026-03-09 12:30:33.762039,6.0,0.44649695423676433,0.94154,7003.669664621353,50000.0,,,,,,,15.442849650979042,7.1391145491301815
2026-03-09 14:28:32.226170,7.0,0.44245155855238083,0.94202,7078.463032722473,50000.0,,,,,,,17.40908938229084,7.06368031716192
2026-03-09 16:24:46.200568,8.0,0.4361089347297317,0.94352,6973.974398136139,50000.0,,,,,,,19.34630449288421,7.169512984355517
2026-03-09 18:24:23.364000,9.0,0.4322520063699426,0.94464,7177.162425994873,50000.0,,,,,,,21.339960722327234,6.9665415149176
2026-03-10 00:54:11.883252,10.0,0.4313821747918788,0.94192,7198.696504116058,50000.0,248.53,0.21358201407937466,0.14666666666666667,0.235,0.33,600.0,23.339598640137247,6.945701901922256
2026-03-10 02:53:40.458906,11.0,0.4289068140131591,0.94308,7168.575654745102,50000.0,,,,,,,25.33086965534422,6.974886282591362
2026-03-10 04:43:57.095051,12.0,0.42953514994763775,0.94342,6616.635244369507,50000.0,,,,,,,27.168823889891307,7.55671094950383
2026-03-10 06:34:10.717885,13.0,0.43061343118084267,0.943,6613.622833490372,50000.0,,,,,,,29.005941343638632,7.560152923569767
2026-03-10 08:24:34.484642,14.0,0.4267629035116949,0.9454,6623.766757249832,50000.0,,,,,,,30.845876553985807,7.548574977413584
2026-03-10 13:50:29.956726,15.0,0.4244452086227925,0.94756,6851.456961631775,50000.0,259.67333333333335,0.20352319525280851,0.13833333333333334,0.235,0.31166666666666665,600.0,32.74905904332797,7.297717883947967
2026-03-10 15:50:57.312010,16.0,0.42528464747744726,0.9441,7227.355284452438,50000.0,,,,,,,34.75665773345364,6.918159967527889
2026-03-10 17:52:09.062191,17.0,0.42246248793764424,0.94628,7271.74916434288,50000.0,,,,,,,36.776588056882225,6.875924742450644
